epoch,step,train_acc,train_loss_epoch,train_loss_step,val_acc,val_loss
0,9,,,9.893903732299805,,
0,12,,,,0.36950042843818665,9.36286735534668
0,19,,,8.476481437683105,,
0,24,,,,0.3226993978023529,7.899771690368652
0,24,0.3626190423965454,9.306056022644043,,,
1,29,,,7.18229866027832,,
1,37,,,,0.23628395795822144,6.882439613342285
1,39,,,6.282042026519775,,
1,49,,,6.1348114013671875,,
1,49,,,,0.22857142984867096,6.060810565948486
1,49,0.2571711242198944,6.9757256507873535,,,
2,59,,,5.297353267669678,,
2,62,,,,0.23768624663352966,5.330651760101318
2,69,,,4.511149883270264,,
2,74,,,,0.2087642401456833,4.647498607635498
2,74,0.23447954654693604,5.4918084144592285,,,
3,79,,,4.903005599975586,,
3,87,,,,0.20000000298023224,4.098024845123291
3,89,,,4.3022379875183105,,
3,99,,,3.7310779094696045,,
3,99,,,,0.16301490366458893,3.5385122299194336
3,99,0.18616783618927002,4.292379856109619,,,
4,109,,,3.761331796646118,,
4,112,,,,0.13900087773799896,3.1380767822265625
4,119,,,2.8886897563934326,,
4,124,,,,0.12129710614681244,2.817462205886841
4,124,0.13568395376205444,3.3346009254455566,,,
5,129,,,3.260535478591919,,
